Value,aws/region_code,aws/instance_type,Operation,aws/operating_system,aws/product_tenancy,2025-06
Actual,ap-northeast-1,c5.xlarge,RunInstances:0002,Windows,Shared,1
Actual,ap-northeast-1,c5a.large,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,c6i.2xlarge,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,c7a.2xlarge,RunInstances,Linux,Shared,2
Actual,ap-northeast-1,c7a.4xlarge,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,c7a.large,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,c7a.xlarge,RunInstances:0002,Windows,Shared,1
Actual,ap-northeast-1,c7i.large,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,m6i.2xlarge,RunInstances,Linux,Shared,8
Actual,ap-northeast-1,m6i.large,RunInstances,Linux,Shared,2
Actual,ap-northeast-1,m6i.xlarge,RunInstances,Linux,Shared,7
Actual,ap-northeast-1,m6id.large,RunInstances:0002,Windows,Shared,1
Actual,ap-northeast-1,m7a.xlarge,RunInstances,Linux,Shared,2
Actual,ap-northeast-1,m7i-flex.2xlarge,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,m7i-flex.xlarge,RunInstances,Linux,Shared,2
Actual,ap-northeast-1,r6i.xlarge,RunInstances:0002,Windows,Shared,1
Actual,ap-northeast-1,r7a.xlarge,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,t2.large,RunInstances:0002,Windows,Shared,1
Actual,ap-northeast-1,t2.medium,RunInstances,Linux,Shared,2
Actual,ap-northeast-1,t2.medium,RunInstances:0002,Windows,Shared,7
Actual,ap-northeast-1,t2.micro,RunInstances,Linux,Shared,2
Actual,ap-northeast-1,t2.micro,RunInstances:0002,Windows,Shared,3
Actual,ap-northeast-1,t3.medium,RunInstances,Linux,Shared,1
Actual,ap-northeast-1,t3.micro,RunInstances:0002,Windows,Shared,2
Actual,ap-northeast-1,t3.small,RunInstances,Linux,Shared,4
Actual,ap-northeast-1,t3.xlarge,RunInstances:0002,Windows,Shared,1
Actual,ap-northeast-3,c5.xlarge,RunInstances,Linux,Shared,1
